,Z,Y,X,W,V,z,y,x,w,v
Jazz,0.18513853904282115,0.369647355163728,0.005037783375314861,0.006297229219143577,0.027707808564231738,0.3110831234256927,0.04408060453400504,0.01952141057934509,0.007556675062972292,0.02392947103274559
Choro,0.008272351256761056,0.4292077632834871,,0.0006363347120585428,0.24498886414253898,0.029907731466751512,0.008272351256761056,0.03372573973910277,0.001590836780146357,0.2433980273623926
Samba,0.015738498789346248,0.4580306698950767,0.0004035512510088781,,0.26150121065375304,0.03833736884584342,0.010895883777239709,0.024213075060532687,0.0008071025020177562,0.1900726392251816
Tom Jobim,0.19224137931034482,0.3612068965517241,0.008189655172413794,0.011206896551724138,0.022413793103448276,0.28448275862068967,0.025,0.04224137931034483,0.014655172413793103,0.03836206896551724
Ivan Lins,0.21224307417336907,0.41152815013404825,0.0017873100983020554,0.002234137622877569,0.06657730116175156,0.26541554959785524,0.02770330652368186,0.0035746201966041107,0.007596067917783735,0.0013404825737265416
Chico Buarque,0.1672046481601033,0.4228534538411879,0.0012911555842479018,0.012265978050355068,0.036152356358941255,0.24919302775984506,0.045836023240800515,0.03357004519044545,0.005810200129115558,0.025823111684958037
Edu Lobo,0.17687464224384658,0.39038351459645104,0.006868918145392101,0.005724098454493417,0.038923869490555235,0.25300515168860904,0.048654836863194044,0.026903262736119062,0.026903262736119062,0.02575844304522038
Caetano Veloso,0.09592822636300898,0.34230503795721184,0.002070393374741201,0.013112491373360938,0.23326432022084195,0.20082815734989648,0.026224982746721876,0.023464458247066944,0.0027605244996549345,0.060041407867494824
Djavan,0.1706896551724138,0.38908045977011496,0.005172413793103448,0.005172413793103448,0.06321839080459771,0.2706896551724138,0.039655172413793106,0.03505747126436782,0.00632183908045977,0.014942528735632184
João Bosco,0.1298780487804878,0.3981707317073171,0.001829268292682927,0.003048780487804878,0.06585365853658537,0.25365853658536586,0.03597560975609756,0.02378048780487805,0.03902439024390244,0.04878048780487805
Milton Nascimento,0.13252148997134672,0.19412607449856734,0.0007163323782234957,0.0035816618911174787,0.3037249283667622,0.2922636103151863,0.012893982808022923,0.00501432664756447,0.01504297994269341,0.04011461318051576
Gilberto Gil,0.11176818450620934,0.43051448846836193,,0.002365464222353637,0.19455943228858663,0.19751626256652868,0.008870490833826138,0.013010053222945003,0.0059136605558840925,0.03548196333530455
Rita Lee,0.06183206106870229,0.3885496183206107,0.0022900763358778627,0.0015267175572519084,0.2877862595419847,0.18549618320610686,0.013740458015267175,0.012977099236641221,0.0030534351145038168,0.042748091603053436
