,Y0,z0,Z0,z3,z2,Y4,Y2,Y23,y0,V0,Z1,v0,x0,Z2,Y3,z1,Y41,Z3,Y1,y2,Y24,z21,y3,W1,w1,Y11,Y2211,X2111,v2,W0,x4,Y231,w2,Y113,w0,Y221,Z5,Y212,z11,X21,Y31,Y211,z12,Z51,Z12,z113,Y22,v3,x3,X0,V4,v1,Z11,Y21,z13,V1,y1,Z4,Z21,Y112,W2,x2,x1,Y223,W21,Y213,Y222,W11,x12,W22,w11,x21,Z511,Y1121,V12,v112,Y2111,Z22,Y13,Z111,V21,V11,Y2221,V2,Y43,Y1122,Y9,x13,Z52,z111,Y2121,x31,V3,W112,X22,W221,z112,v11,Y2131,V22,X1,Y131,Y311,Y111,Y122,X111
Jazz,0.20025188916876574,0.19269521410579346,0.13224181360201512,0.052267002518891686,0.04659949622166247,0.04219143576826197,0.03904282115869018,0.03400503778337532,0.0327455919395466,0.027707808564231738,0.025818639798488665,0.020780856423173802,0.0163727959697733,0.015113350125944584,0.011964735516372796,0.011335012594458438,0.011335012594458438,0.008816120906801008,0.007556675062972292,0.0069269521410579345,0.005667506297229219,0.005037783375314861,0.004408060453400504,0.003778337531486146,0.003778337531486146,0.0031486146095717885,0.0031486146095717885,0.0031486146095717885,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307,0.001889168765743073,0.001889168765743073,0.001889168765743073,0.001889168765743073,0.001889168765743073,0.001889168765743073,0.0012594458438287153,0.0012594458438287153,0.0012594458438287153,0.0012594458438287153,0.0012594458438287153,0.0006297229219143577,0.0006297229219143577,0.0006297229219143577,0.0006297229219143577,0.0006297229219143577,0.0006297229219143577,0.0006297229219143577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choro,0.42793509385937,0.010181355392936684,0.0009545020680878142,,,,,0.0012726694241170856,0.008272351256761056,0.2433980273623926,0.007317849188673242,0.24307986000636334,0.03372573973910277,,,0.019726376073814826,,,,,,,,,,,,,,0.0006363347120585428,,,,,0.001590836780146357,,,,,,,,,,,,,,,,0.001590836780146357,0.0003181673560292714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samba,0.4523809523809524,0.03712671509281679,0.00645682001614205,0.0004035512510088781,,0.0004035512510088781,0.002824858757062147,0.0012106537530266344,0.010895883777239709,0.26069410815173527,0.009281678773204197,0.18966908797417273,0.024213075060532687,,,0.0008071025020177562,0.0012106537530266344,,,,,,,,,,,,0.0004035512510088781,,,,,,0.0008071025020177562,,,,,,,,,,,,,,,0.0004035512510088781,0.0008071025020177562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Jobim,0.08922413793103448,0.17672413793103448,0.09870689655172414,0.009482758620689655,0.03405172413793103,0.03706896551724138,0.05,0.06336206896551724,0.016379310344827588,0.015086206896551725,0.03103448275862069,0.03189655172413793,0.03017241379310345,0.03146551724137931,0.009913793103448277,0.054310344827586204,0.028448275862068967,0.0034482758620689655,0.006896551724137931,0.0021551724137931034,0.004310344827586207,0.003017241379310345,0.0021551724137931034,0.002586206896551724,0.0021551724137931034,0.03146551724137931,0.006896551724137931,,0.001293103448275862,0.005172413793103448,0.003017241379310345,,0.001293103448275862,0.003879310344827586,0.010775862068965518,0.0034482758620689655,0.005172413793103448,0.0008620689655172414,0.001293103448275862,0.001293103448275862,0.0004310344827586207,0.0017241379310344827,0.0008620689655172414,0.0004310344827586207,0.0008620689655172414,,0.010775862068965518,,0.00603448275862069,0.006896551724137931,0.0021551724137931034,0.0047413793103448275,0.015086206896551725,0.007327586206896552,0.0047413793103448275,0.0047413793103448275,0.004310344827586207,0.003017241379310345,0.0021551724137931034,0.0017241379310344827,0.001293103448275862,0.0008620689655172414,0.0008620689655172414,0.0008620689655172414,0.0008620689655172414,0.0008620689655172414,0.0008620689655172414,0.0008620689655172414,0.0008620689655172414,0.0004310344827586207,0.0004310344827586207,0.0004310344827586207,0.0004310344827586207,0.0004310344827586207,0.0004310344827586207,0.0004310344827586207,0.0004310344827586207,0.0004310344827586207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Lins,0.059428060768543345,0.06881143878462913,0.08489722966934764,0.020107238605898123,0.1063449508489723,0.031724754244861486,0.049597855227882036,0.015638963360142984,0.016979445933869526,0.03306523681858802,0.021447721179624665,0.0008936550491510277,0.002680965147453083,0.07551385165326184,0.004021447721179625,0.01519213583556747,0.016979445933869526,0.0035746201966041107,0.036193029490616625,0.00044682752457551384,0.002234137622877569,0.044682752457551385,,,0.005361930294906166,0.06613047363717604,0.009830205540661306,,,0.00044682752457551384,0.00044682752457551384,,,0.00580875781948168,0.002234137622877569,0.0071492403932082215,0.004915102770330653,,0.00804289544235925,0.0017873100983020554,,0.002680965147453083,0.002234137622877569,0.00044682752457551384,,,0.03395889186773905,,0.00044682752457551384,,,0.00044682752457551384,0.012511170688114389,0.004021447721179625,,0.0290437890974084,0.010277033065236819,0.003127792672028597,0.003127792672028597,0.04825737265415549,,,,0.004915102770330653,,,0.00044682752457551384,,,0.0017873100983020554,,,,,,,,0.00044682752457551384,0.010277033065236819,0.002234137622877569,0.002234137622877569,0.0017873100983020554,0.0013404825737265416,0.00044682752457551384,0.00044682752457551384,0.00044682752457551384,,,,,,,,,,,,,,,,,,,,
Chico Buarque,0.20529373789541638,0.12976113621691412,0.06068431245965139,0.0025823111684958036,0.025823111684958037,0.022595222724338282,0.06907682375726275,0.0329244673983215,0.04325371207230471,0.03227888960619755,0.06391220142027114,0.020012911555842477,0.030342156229825695,0.018076178179470628,0.006455777921239509,0.08650742414460942,0.03486120077469335,0.0012911555842479018,0.009683666881859263,0.0006455777921239509,0.0006455777921239509,0.0006455777921239509,,,0.0012911555842479018,0.025823111684958037,,,0.0012911555842479018,0.011620400258231117,,,,0.005164622336991607,0.004519044544867657,0.003873466752743706,0.0006455777921239509,0.0006455777921239509,,,,,,0.0012911555842479018,,,0.0012911555842479018,0.0006455777921239509,0.0025823111684958036,0.0012911555842479018,0.0006455777921239509,0.003873466752743706,0.02065848934796643,0.0025823111684958036,0.003873466752743706,0.0032278889606197547,0.001936733376371853,,0.0006455777921239509,,0.0006455777921239509,,0.0006455777921239509,0.0006455777921239509,,,,,,,,,,,,,,,,,,,,,,,0.0012911555842479018,,,,,,,,,,,,,,,,,,,
Edu Lobo,0.04922724670864339,0.11619919862621637,0.07097882083571837,0.01030337721808815,0.07040641099026904,0.0412135088723526,0.038923869490555235,0.061820263308528904,0.038923869490555235,0.03262736119061248,0.01316542644533486,0.013737836290784202,0.01659988551803091,0.031482541499713794,0.01659988551803091,0.030910131654264452,0.029765311963365768,0.006296508299942759,0.005151688609044075,0.0017172295363480253,0.018889524899828276,0.009158557527189467,0.0005724098454493417,,0.012020606754436176,0.061247853463079566,0.006868918145392101,,0.004006868918145392,0.0017172295363480253,0.0011448196908986834,,,0.0045792787635947334,0.014882655981682884,0.005151688609044075,0.0011448196908986834,0.006868918145392101,0.010875787063537493,0.0005724098454493417,0.0028620492272467086,0.0017172295363480253,0.0011448196908986834,0.0206067544361763,,,0.008586147681740127,,0.0034344590726960505,0.005724098454493417,,0.008013737836290785,0.015455065827132226,0.01030337721808815,0.0017172295363480253,0.0028620492272467086,0.007441327990841442,0.005151688609044075,0.0028620492272467086,0.0045792787635947334,,,0.0011448196908986834,,,0.006296508299942759,0.0011448196908986834,,,0.0028620492272467086,,0.0005724098454493417,0.0005724098454493417,,,,0.0011448196908986834,0.005724098454493417,0.0005724098454493417,,0.0028620492272467086,,0.005724098454493417,,,,,0.0034344590726960505,0.0034344590726960505,0.0017172295363480253,0.0011448196908986834,0.0005724098454493417,0.0005724098454493417,0.0005724098454493417,0.0005724098454493417,0.0005724098454493417,0.0005724098454493417,,,,,,,,,
Caetano Veloso,0.2015182884748102,0.15044858523119392,0.06625258799171843,0.008971704623878536,0.024844720496894408,0.011042097998619738,0.06625258799171843,0.024154589371980676,0.025534851621808144,0.23326432022084195,0.0027605244996549345,0.060041407867494824,0.023464458247066944,0.008281573498964804,0.006211180124223602,0.016563146997929608,0.013802622498274672,,0.004830917874396135,0.0006901311249137336,0.002070393374741201,,,,,0.011732229123533472,,,,0.011042097998619738,,,0.0006901311249137336,,0.002070393374741201,,,,,0.0006901311249137336,,,,,,,,,,0.0013802622498274672,,,0.018633540372670808,0.0006901311249137336,,,,,,,,,,,0.002070393374741201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djavan,0.06436781609195402,0.16551724137931034,0.10574712643678161,0.01206896551724138,0.056896551724137934,0.004597701149425287,0.11666666666666667,0.02471264367816092,0.03793103448275862,0.045402298850574715,0.004022988505747126,0.010344827586206896,0.02586206896551724,0.032758620689655175,0.017241379310344827,0.034482758620689655,0.04080459770114943,0.0022988505747126436,0.005172413793103448,,0.031609195402298854,,,,0.0005747126436781609,0.05747126436781609,0.0034482758620689655,,,0.004597701149425287,0.0011494252873563218,,0.0011494252873563218,0.0022988505747126436,0.0017241379310344827,0.0017241379310344827,0.0005747126436781609,0.0005747126436781609,0.0011494252873563218,,,,0.0005747126436781609,,,,0.008045977011494253,,0.008045977011494253,0.005172413793103448,0.0005747126436781609,0.0028735632183908046,0.022988505747126436,0.010344827586206896,,0.00632183908045977,0.0017241379310344827,0.0011494252873563218,,,,,,,,,,,,,0.0028735632183908046,,,,,,,0.0011494252873563218,,,,0.0005747126436781609,,,,,,,,,,,0.010344827586206896,0.0005747126436781609,,,,0.0017241379310344827,,,,,,,,
João Bosco,0.13841463414634148,0.10792682926829268,0.045121951219512194,0.009146341463414634,0.05304878048780488,0.046341463414634146,0.05731707317073171,0.031097560975609756,0.02804878048780488,0.05426829268292683,0.023170731707317073,0.02621951219512195,0.01768292682926829,0.01524390243902439,0.003048780487804878,0.04695121951219512,0.031097560975609756,0.00975609756097561,0.012195121951219513,0.006097560975609756,0.01097560975609756,0.014634146341463415,0.0006097560975609756,,0.006097560975609756,0.01768292682926829,0.006097560975609756,,0.001829268292682927,0.0024390243902439024,,,0.001829268292682927,0.007317073170731708,0.031097560975609756,0.010365853658536586,0.0024390243902439024,0.0006097560975609756,0.00426829268292683,,,0.0012195121951219512,,,,,0.011585365853658536,,0.004878048780487805,0.0012195121951219512,0.0012195121951219512,0.020731707317073172,0.025,0.00548780487804878,0.007926829268292683,0.00853658536585366,0.0012195121951219512,0.00548780487804878,,0.00426829268292683,,,0.0012195121951219512,,,,,0.0006097560975609756,,,,,,,,,,,0.001829268292682927,0.003658536585365854,,0.0006097560975609756,0.0006097560975609756,,,,,,,0.001829268292682927,,,0.0006097560975609756,,,,0.007926829268292683,,0.0006097560975609756,0.0006097560975609756,0.0006097560975609756,,,,,
