,b,j,e,a,d,k,s,p,l,o,f,v,t,g,q,r,u,n,h,z,x,c,y,m,i,w
Jazz,0.4491338582677165,0.22677165354330708,0.14393700787401575,0.10299212598425198,0.01952755905511811,0.01700787401574803,0.013543307086614173,0.007244094488188977,0.005039370078740157,0.004409448818897638,0.004094488188976378,0.0031496062992125984,0.0015748031496062992,0.0009448818897637795,0.0006299212598425197,,,,,,,,,,,
Choro,0.24263775971093043,0.08708220415537489,0.031616982836495035,0.01951219512195122,0.0001806684733514002,0.0001806684733514002,0.017163504968383016,0.02168021680216802,0.03378500451671183,0.0005420054200542005,,0.24896115627822946,0.014092140921409214,0.026377597109304426,0.006865401987353207,0.08599819331526648,0.08346883468834689,0.06323396567299007,0.010659439927732611,0.0018066847335140017,0.0018066847335140017,0.0012646793134598012,0.0005420054200542005,0.0005420054200542005,,
Samba,0.10614762816422038,0.08487555839183153,0.04658583280153159,0.060412678153584344,,,0.009997872793022762,0.024250159540523293,0.061689002339927676,0.0014890448840672197,0.00042544139544777704,0.021272069772388852,0.030844501169963838,0.07062327164433099,0.006594341629440545,0.10614762816422038,0.01318868325888109,0.28610933843863007,0.005956179536268879,,,0.057009146990002126,,0.005956179536268879,0.00042544139544777704,
Tom Jobim,0.2087729039422543,0.10688506385341477,0.04747362576346474,0.04081066074403109,0.0421987784564131,0.03192670738478623,0.061910049972237646,0.041088284286507494,0.010549694614103275,0.019988895058300944,0.013603553581343698,0.05941143808995003,0.02609661299278179,0.058023320377568015,0.000832870627429206,0.03498056635202665,0.03026096612992782,0.13325930038867295,0.004997223764575236,,,0.024708495280399777,,0.00138811771238201,0.000832870627429206,
Ivan Lins,0.2352486472558619,0.16542128317443958,0.11440350425148157,0.05668642102550889,0.07575367173408916,0.06596238082968307,0.053336768874001544,0.026281886111826847,0.01597526410718887,0.03633084256634888,0.01545993300695697,0.01494460190672507,0.02035557845916001,0.01571759855707292,0.002061324400927596,0.012625611955681525,0.012883277505797475,0.03452718371553723,0.002061324400927596,,,0.01004895645452203,,0.011594949755217727,0.0023189899510435456,
Chico Buarque,0.15406883242200065,0.1939530395625603,0.09971051785139916,0.02637504020585397,0.018977163074943713,0.016725635252492762,0.021550337729173367,0.02444515921518173,0.024123512383403024,0.017690575747828882,0.0032164683177870698,0.039562560308780956,0.04277902862656803,0.04084914763589579,0.010935992280476037,0.04117079446767449,0.022515278224509487,0.15406883242200065,0.002894821486008363,,,0.031843036346091994,,0.011579285944033452,0.0009649404953361209,
Edu Lobo,0.24638592080452545,0.21873035826524198,0.11156505342551855,0.03771213073538655,0.03016970458830924,0.02545568824638592,0.04054054054054054,0.012884978001257071,0.03896920175989944,0.02294154619736015,0.00502828409805154,0.05059710873664362,0.01697045883092395,0.031112507856693904,0.009428032683846637,0.03048397234443746,0.02011313639220616,0.038654934003771214,0.003771213073538655,0.0006285355122564425,,0.00251414204902577,,0.005342551854179761,,
Caetano Veloso,0.1898470097357441,0.2329624478442281,0.11578581363004173,0.03929068150208623,0.03650904033379694,0.02851182197496523,0.03859527121001391,0.02121001390820584,0.03372739916550765,0.006258692628650904,0.006606397774687065,0.05528511821974965,0.016689847009735744,0.03824756606397774,0.011126564673157162,0.03929068150208623,0.02121001390820584,0.02920723226703755,0.008344923504867872,,,0.01564673157162726,,0.013908205841446454,0.0017385257301808068,
Djavan,0.14984812689841376,0.14883563955450557,0.09652379345258184,0.03442456969287884,0.011137360782990213,0.008437394532568343,0.03881201484981438,0.038474519068511646,0.020924738440769492,0.023287208909888626,0.00809989875126561,0.03273709078636517,0.0290246371920351,0.07256159298008776,0.01889976375295309,0.03374957813027337,0.030712116098548767,0.10361120485993926,0.024974687816402295,,0.0003374957813027337,0.04556193047586905,,0.021262234222072223,0.007424907188660142,0.0003374957813027337
João Bosco,0.16739409499358152,0.1509627727856226,0.0767650834403081,0.054942233632862644,0.0410783055198973,0.03774069319640565,0.04030808729139923,0.012323491655969191,0.017201540436456997,0.0251604621309371,0.013093709884467265,0.012066752246469832,0.013607188703465983,0.06649550706033376,0.003337612323491656,0.045699614890885754,0.016431322207958923,0.15070603337612323,0.005905006418485238,,,0.03979460847240052,,0.005648267008985879,0.003337612323491656,
Milton Nascimento,0.3024921226009739,0.2509309653394443,0.18476081352048124,0.06015468347178459,0.01833285591521054,0.016900601546834718,0.025780578630764824,0.004583213978802635,0.006874820968203953,0.02979089086221713,0.013749641936407906,0.0014322543683758235,0.008879977083930107,0.013176740189057576,0.005156115726152965,0.018046405041535377,0.0011458034947006588,0.013176740189057576,0.0034374104841019765,,,0.002005156115726153,,0.004583213978802635,0.013749641936407906,0.0008593526210254941
Gilberto Gil,0.141321044546851,0.1774193548387097,0.06221198156682028,0.013056835637480798,0.026881720430107527,0.04377880184331797,0.006144393241167435,0.028417818740399385,0.028417818740399385,0.005376344086021506,0.013056835637480798,0.04838709677419355,0.03763440860215054,0.065284178187404,0.01228878648233487,0.07450076804915515,0.015360983102918587,0.14285714285714285,0.020737327188940093,,,0.023809523809523808,,0.013056835637480798,,
Rita Lee,0.18141592920353983,0.425094816687737,0.27085967130214916,0.030973451327433628,0.012642225031605562,0.010745891276864728,0.0037926675094816687,0.0050568900126422255,0.004424778761061947,0.0009481668773704172,0.0018963337547408343,0.009165613147914033,0.007269279393173199,0.0050568900126422255,0.00347661188369153,0.008217446270543615,0.008217446270543615,0.004424778761061947,0.0022123893805309734,,,0.0031605562579013905,,0.0009481668773704172,,
